id,mu_c,mu_a,sd_c,sd_a,threshold,c,a,n_learning,vignette,units,interval,valence,cause,confidence,justification,vibes_c,vibes_a,age,gender,attention_check,comments,rt_judgment,rt_confidence
cq7k1yzqeydof7fj35jb72l0kbhgqm6k,75,75,1,50,199,100,100,10,sewage,gallon,day,negative,0.609080525414049,0.509708737864078,"I responded that way because the statement accurately reflects the scenario described: Huxley Steel's production of 100 gallons of sewage, combined with Huxley Lumber's 100 gallons, exceeded the water treatment facility's capacity of 199 gallons per day. This led to the river becoming polluted because the excess sewage could not be adequately treated and filtered by the facility, resulting in environmental contamination.",0.507995431182182,0.506853226727584,75,Male,Yes.,"Great survey, wish to undertake more of such.",121910,6159
hwqxwlsf0tqabmxul85fdzv3elgnvnbh,75,75,50,50,99,100,100,10,electricity,megawatt,day,negative,1,1,"Either town used more than the available renewable energy, so I'd answer ""yes"" if asked about either.  If you'd ask whether Chester was *solely* responsible, I'd answer ""no"", because both consumed more than was available.",0,0,69,Male,Yes.,NA,20059,5077
lkw40mwak3asqhfo1df16vvr7q22hm7g,75,75,1,50,99,100,100,10,trucking,case,day,negative,0.493138936535163,0.523156089193825,"it was about equal, I figured close to 50/50, as each company ordered a LOT.",0.558319039451115,0.566895368782161,71,Male,Yes.,NA,10911,5113
lebo4k5298raqbsu1s7oo8uqjwahf4lz,75,75,1,50,199,100,100,10,trucking,case,day,negative,0,0.998713550600343,"Orders vary, and are made independently of the other company. Each is staying within it's average order, if you look at it over time.",0.334624249571184,0.352527337049743,73,Male,Yes.,"No, thanks",16987,8044
k69c9mxl5w5bs5v0dy6qsre3jwgu4d15,75,75,1,50,99,100,100,10,sewage,gallon,day,negative,0.517140898183065,0.465032567706548,seemed like the correct answer,0.748200205690778,0.800308536167295,50,Female,Yes.,NA,4848,7846
4xoby88rg2ej876k24kj95ovc3bp38uz,75,75,1,50,199,100,100,10,trucking,case,day,negative,0.509058747855918,0.889606560891938,Because I feel both companies equally responsible for causing Ned to have to make two trips. To me it didn't matter how much the two companies ordered in the previous 40 days.,0.967517152658662,0,59,Male,Yes.,Please let me know if I can help you in future studies!,35441,16585
j2tk4ywkntetv2owq118v3ogquxwbmqo,75,75,1,50,99,100,100,10,savings,dollar,month,positive,0.921955403087479,0.963121783876501,"The goal was for $99 or more to earn the bonus  if one of the two exceeded the $99, that should trigger the bonus",0.391938250428816,0.304459691252144,62,Male,Yes.,No additional comments,14184,5912
3tzflp4x6sz8p1585z20p03fy8ax16dm,75,75,50,50,99,100,100,10,savings,dollar,month,positive,0,1,This is a stupid question. Figure it out.,0,0,63,Male,Yes.,NA,7999,4295
08w5kjb2v13nepq1whc7juvfz4qxk2lv,75,75,1,50,199,100,100,10,sales,ream,day,positive,0.823327615780446,0.936535162950257,if Susan sold less than a 100 it would have not been enough for the company to make profit,0.620068610634648,0.283876500857633,23,Female,Yes.,NA,51765,12898
w4s4rpa31o0g2xqvv38ynljx2r5j0ere,75,75,1,50,99,100,100,10,savings,dollar,month,positive,0.0629070963318478,0.615529653753857,"Because Luke for the most part has been steady in the way they save their money, Lisa, on the other hand, is extremely volatile, and for the most part, they're the reason why they miss out on bonuses - Lisa a lot of the times will not help at all for meeting the threshold.",0,1,23,Male,Yes.,Everything was easy to follow through with - I wasn't stuck on anything nor did I have any problems with the study itself. Thank you for having me!,14574,8533
os4pkoc13u5uwsgktxxx1jx51ax0t1j7,75,75,50,50,199,100,100,10,electricity,megawatt,day,negative,0.756810821108783,0.421508858830253,I just went with my best guess overall,0.28891217374738,0.360544865688703,60,Female,Yes.,NA,22601,5164
lhlafolucnj35w7udq3210zw1cj8je35,75,75,50,50,199,100,100,10,sales,ream,day,positive,0,0.878640776699029,Because they had to sell 199 reams to make a profit and Susan only sold 100,0.759280411193604,0.200742432895488,70,Male,Yes.,It would be interesting to know the hypothesis of this study.,24533,9046
lmd7zpjq3906jfn4obgge5z0bplndfb6,75,75,1,50,99,100,100,10,funding,student,year,positive,0.99597188892698,1,"The goal was for both schools to send at least a total of 99 students to university. They both sent 100, so either school, met the threshold to garner more funding.",0.495800479945149,0.537795680493658,58,Female,Yes.,Interesting study.,45898,14238
