id,mu_c,mu_a.x,sd_c.x,sd_a.x,threshold.x,c.x,a.x,n_learning.x,prolific_id,study_id.x,session_id.x,name,units.x,interval.x,valence.x,cause,confidence,justification,vibes,age,gender,attention_check,comments,rt_judgment,rt_confidence,block,trial,rt,n_incorrect,mu_a.y,sd_c.y,sd_a.y,threshold.y,c.y,a.y,n_learning.y,study_id.y,session_id.y,vignette,units.y,interval.y,valence.y,normality,structure
5k3qm5xkqcy2ralp9nq7l8t2z7yplxt4,75,75,25,25,83,84,84,10,652809036a4ca0c161cda6e7,6945af5c25ee29016567edf9,69702680f0a3eb6fa68ee153,savings,dollar,month,positive,1,1,,,56,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hcngpcnjw8wr1yvwnf00emu9za3x7jnc,25,75,25,25,83,84,84,10,695bd138312a5272042a8db4,6945af5c25ee29016567edf9,69701f32f0a67784f60ce4b1,funding,student,year,positive,0.531732418524871,0.617495711835335,,,53,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d5bobuyxm1oa95sx5c02b9t6115n6udw,25,75,25,25,167,84,84,10,5cb67a7ab73e8a001507fae5,6945af5c25ee29016567edf9,697023a2bfce4c79732c8a44,electricity,megawatt,day,negative,0.235579668760708,0.796402055968018,,,55,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8zoelrgr10ck4up7xy1hx8vlls103gpd,25,75,25,25,167,84,84,10,5cd08e2ff59e0a0013563602,6945af5c25ee29016567edf9,697021edb12c04fb89591f21,electricity,megawatt,day,negative,0.601656196459166,1,,,38,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kjwezlnwxlesb32or84wbhv6k8lgfs7e,75,75,25,25,83,84,84,10,6712af54b9c073fb6f726116,6945af5c25ee29016567edf9,69701d981ecc044f5dfb3edd,funding,student,year,positive,0.879842303736716,0.807164895440521,,,57,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eta1720l55j7qm8alae4odlx0tqwcd68,25,75,25,25,167,84,84,10,6784cd4c648d7fe55ab2ff24,6945af5c25ee29016567edf9,6970321a1f8aa3898ac94d57,trucking,ton,day,negative,0.658195316961736,0.721016561964592,,,64,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soo0t9mxpwlu61z7ddl5dqsj662o3hom,25,75,25,25,83,84,84,10,6439196ac8edf1bbd8c44d13,6945af5c25ee29016567edf9,69701d335df08b7bbb8e091f,electricity,megawatt,day,negative,1,1,,,42,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ckarcwycg0az9nwdnla2ymrf4jzm0xc2,25,75,25,25,167,84,84,10,66798cc98973f70b7de20460,6945af5c25ee29016567edf9,697020423592d80ee3f31651,savings,dollar,month,positive,0.839622641509434,0.960548885077187,,,42,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,1,7487,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,2,1408,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,3,2423,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,4,1615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,5,1783,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,6,1392,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,7,1200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,8,1264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,9,1200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,1,10,13807,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,11,2375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,12,3368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,13,2112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,14,2024,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,15,1703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,16,4943,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,17,3992,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,18,1199,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,19,2192,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6frgp0k6oau7xuv3938m8frr1kmlcteg,25,75,25,25,167,84,84,10,6942cdbe08f75d111bb9713d,6945af5c25ee29016567edf9,6970203490ab114a891dc9c8,sewage,gallon,day,negative,1,1,,,55,,,,,,2,20,5879,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
