"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","id","mu_c","mu_a","sd_c","sd_a","threshold","c","a","n_learning","prolific_id","study_id","session_id","name","units","interval","valence","instructions","learning","man_check","judgment","vibe_check","view_history","stimulus","response","measure","block","trial","e","slider_start","variable","question_order"
"19538","consent.html","external-html","0","19590","0.0-0.0","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","","","","","","","","","",""
"52727","","instructions","1","72318","0.0-1.0","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","[{""page_index"":0,""viewing_time"":3846},{""page_index"":1,""viewing_time"":25656},{""page_index"":2,""viewing_time"":23225}]","","","","","","","","",""
"16342","","html-button-response","2","88662","0.0-2.0-0.0-0.0-0.0","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","","<p align=""left"">Day 1 of 40:</p><span style=""color: rgb(255, 159, 64)"">Chester</span> used 71 megawatts of electricity. <br><span style=""color: rgb(153, 102, 255)"">Franklin</span> used 57 megawatts of electricity.<br><br><canvas id=""plot"" height=""125px""></canvas><p><strong>Did the power grid use non-renewable energy today?</strong></p>","0","learning","1","1","0","","",""
"2735","","instructions","3","91398","0.0-2.0-0.0-0.0-1.0","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","[{""page_index"":0,""viewing_time"":2735}]","","","","","","","","",""
"5503","","html-button-response","4","96902","0.0-2.0-0.1-0.1-0.1","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","","<p align=""left"">Day 2 of 40:</p><span style=""color: rgb(255, 159, 64)"">Chester</span> used 43 megawatts of electricity. <br><span style=""color: rgb(153, 102, 255)"">Franklin</span> used 69 megawatts of electricity.<br><br><canvas id=""plot"" height=""125px""></canvas><p><strong>Did the power grid use non-renewable energy today?</strong></p>","0","learning","1","2","0","","",""
"1032","","instructions","5","97934","0.0-2.0-0.1-0.1-1.1","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","[{""page_index"":0,""viewing_time"":1031}]","","","","","","","","",""
"2095","","html-button-response","6","100030","0.0-2.0-0.2-0.2-0.2","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","","<p align=""left"">Day 3 of 40:</p><span style=""color: rgb(255, 159, 64)"">Chester</span> used 20 megawatts of electricity. <br><span style=""color: rgb(153, 102, 255)"">Franklin</span> used 50 megawatts of electricity.<br><br><canvas id=""plot"" height=""125px""></canvas><p><strong>Did the power grid use non-renewable energy today?</strong></p>","0","learning","1","3","0","","",""
"959","","instructions","7","100990","0.0-2.0-0.2-0.2-1.2","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","[{""page_index"":0,""viewing_time"":959}]","","","","","","","","",""
"4127","","html-button-response","8","105118","0.0-2.0-0.3-0.3-0.3","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","","<p align=""left"">Day 4 of 40:</p><span style=""color: rgb(255, 159, 64)"">Chester</span> used 27 megawatts of electricity. <br><span style=""color: rgb(153, 102, 255)"">Franklin</span> used 65 megawatts of electricity.<br><br><canvas id=""plot"" height=""125px""></canvas><p><strong>Did the power grid use non-renewable energy today?</strong></p>","0","learning","1","4","0","","",""
"1807","","instructions","9","106926","0.0-2.0-0.3-0.3-1.3","sb1mvcmchxcd23qyqow33qeq88xck2vs","25","75","25","25","167","84","84","10","5c65b61fad596e000179ece5","6945af5c25ee29016567edf9","6970347cc1e01292a385951a","electricity","megawatt","day","negative","[""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> are the only two towns supplied by their local power grid. The power grid is able to supply up to 167 megawatts of renewable electricity per day. So, if <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> together use more than 167 megawatts of electricity on a given day, then the power grid will resort to using non-renewable energy for that day. <br><br>Based on the average amount of electricity <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> each use per day, the power grid rarely resorts to using non-renewable energy."","" We will show you how much electricity each of the two towns used on 40 days in total, separated into 4 blocks of 10 individual days. For each day, you will be asked whether the power grid used non-renewable energy.<br><br><strong>At the end of each block, you will be asked how many megawatts of electricity are used by each town on average. </strong>""]","{""stim1"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> used "",""stim2"":"" of electricity. "",""stim3"":""<span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used "",""stim4"":"" of electricity."",""question"":""Did the power grid use non-renewable energy today?"",""alert"":""Remember that the power grid will use non-renewable energy whenever <span style=\""color: rgb(255, 159, 64)\"">Chester</span> and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use <b>more than</b> 167 megawatts in total.""}","{""c"":""On average, how many megawatts of electricity does <span style=\""color: rgb(255, 159, 64)\"">Chester</span> use each day?"",""a"":""On average, how many megawatts of electricity does <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> use each day?""}","{""reminder"":""As a reminder, the power grid is able to supply up to 167 megawatts of renewable electricity on any given day."",""vignette"":""Today, <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity and <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity. Together, they used 168 megawatts of electricity. So, the power grid used non-renewable energy."",""statement"":""<span style=\""color: rgb(255, 159, 64)\"">Chester</span> using 84 megawatts of electricity caused the power grid to use non-renewable energy today.""}","{""c"":""<p><strong>How surprised were you that <span style=\""color: rgb(255, 159, 64)\"">Chester</span> used 84 megawatts of electricity?</strong></p>"",""a"":""<p><strong>How surprised were you that <span style=\""color: rgb(153, 102, 255)\"">Franklin</span> used 84 megawatts of electricity?</strong></p>""}","[{""page_index"":0,""viewing_time"":1807}]","","","","","","","","",""
