id,block,trial,rt,n_incorrect,mu_c,mu_a,sd_c,sd_a,threshold,c,a,n_learning,vignette,units,interval,valence,manipulation_check_c,manipulation_check_a
02a2vv21127bkf54lz25roove5ovkbbl,1,1,105014,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,2,5846,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,3,3679,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,4,3367,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,5,2839,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,6,3167,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,7,2257,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,8,2703,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,9,3624,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,1,10,2511,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.876414124100103,0.735173123071649
02a2vv21127bkf54lz25roove5ovkbbl,2,11,19832,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,12,5975,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,13,5585,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,14,4784,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,15,4135,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,16,4065,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,17,22352,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,18,4311,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,19,4552,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,2,20,4045,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.920294823448749,0.862701405553651
02a2vv21127bkf54lz25roove5ovkbbl,3,21,42281,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.654268083647583,0.593932122043195
02a2vv21127bkf54lz25roove5ovkbbl,3,22,10141,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.654268083647583,0.593932122043195
02a2vv21127bkf54lz25roove5ovkbbl,3,23,4327,0,75,75,25,25,83,84,84,10,savings,dollar,month,positive,0.654268083647583,0.593932122043195
