id,mu_c,mu_a,sd_c,sd_a,threshold,c,a,n_learning,study_id,session_id,vignette,units,interval,valence,cause,confidence,justification,vibes_c,vibes_a,age,gender,attention_check,comments,rt_judgment,rt_confidence
j8or8q24npv5fncctw414pwx0sctop77,75,75,50,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,665a04dea7acb565414e6670,sales,ream,day,positive,0.825042881646655,0.251286449399657,TEchnically a profit is anything over 99 reams so she did cause a profit.,0.493996569468268,0.499142367066895,29,Female,Yes.,NA,14032,3627
tvxa55tdzsg0yu7dr7n1wv12l6b2h3q2,75,75,1,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,665a0585f6152cfdaaf7c0d3,sales,ream,day,positive,0.487993138936535,0.207547169811321,"I felt that since Susan is the steady earner, her over-performance guaranteed the day's profit. In retrospect, I think Mike's performance is the real determinant of whether they make a profit or not.",0.661234991423671,0.52229845626072,44,Male,Yes.,NA,14429,5249
6n90mds8nqfshxhe263bkdta234z28xs,75,75,50,50,199,100,100,10,6658d1dffcfccc0b76bb6da4,665a0442ab323f331c9fc6ad,sales,ream,day,positive,0.837907375643225,0.715265866209263,Because is she sold any less than it wouldnt have made a profit,0.990566037735849,0.993996569468268,34,Female,Yes.,Susan and Mike need to be fired.,9184,3679
044spdlj8dcq3tow1zaukxvyjqf4shq2,75,75,1,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,665a051a44ecf900edc64924,sales,ream,day,positive,1,0.867924528301887,"The branch simply would not have sold 200 reams of paper if Susan hadn't sold 100. My answer would be the same if Mike was the example. If Susan and Mike were both used as examples, I would have split it 50/50.",0.0711835334476844,0.00943396226415094,22,Male,Yes.,I enjoyed the way the survey was presented! It was actually fun in a weird way.,20622,4790
748kmon1qaqgbeu5ul9wj2vwep6k9sta,75,75,50,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,6659fda747bdecc4b7730bf6,sales,ream,day,positive,0.986894296740995,0.905338765008576,susan was able to make quota on her own,0.0156920025728988,0.0103451972555746,29,Female,Yes.,NA,22470,6857
pfq02njm76p34ud2gnp0gcm8xedegf7l,75,75,1,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,665a06302e1fcdeabaf9a0fa,sales,ream,day,positive,0.506861063464837,0.773584905660377,I feel Susan and Mike were equally responsible for selling enough paper to make a profit on that day.,0.543739279588336,0.206689536878216,52,Female,Yes.,Thanks for allowing me to participate in your research!,12513,5847
a4o6s80lx4zr78q87n5slgmta5ms13os,75,75,50,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,6659f0a001fc5542133bd3c0,sales,ream,day,positive,0.512006861063465,1,"I answered neutrally, because each worker made the quota individually.",0.182675814751286,0.196397941680961,37,Female,Yes.,no,15937,5936
7z2vf13y38q9n3gjt5v1v9psa46o7mwq,75,75,50,50,199,100,100,10,6658d1dffcfccc0b76bb6da4,665a05a8f69c2ea78f5fe53d,sales,ream,day,positive,0.498284734133791,0.611492281303602,"There are many scenarios that would lead to the company making a profit. If both Mike and Susan are responsible for the companies profit then for fairness each would be responsible for half of the reams of paper. So Susan is 100% responsible for 50% of the profit. She did her share but is not totally responsible, so I selected around 50%.",0.129502572898799,0.674957118353345,39,Female,Yes.,NA,28934,8617
tpme3tp38m92kbaj4nw8upl06r8x5hjv,75,75,50,50,199,100,100,10,6658d1dffcfccc0b76bb6da4,665a0585aa00c0c9103b32ba,sales,ream,day,positive,0.583391402229846,0.642219661234991,I think Susan sells more on average.,0.375924635506003,0.576302530017153,27,Female,Yes.,NA,5766,4333
3owp7npk35kwwjocgfg70ud6kaenlo28,75,75,50,50,199,100,100,10,6658d1dffcfccc0b76bb6da4,665a060e7e4cc7180141c576,sales,ream,day,positive,1,1,They are both equally responsible for making a profit.,0.728130360205832,0.865351629502573,29,Female,Yes.,NA,13650,3124
hhtyxvwy0zte9oyyv13q0gwb9ps4kln6,75,75,1,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,665a038aec08c6b001185aa9,sales,ream,day,positive,0.575471698113208,0.560891938250429,They each are responsible for the company making a profit-- but if either didn't sell any the company would also make a profit.. But not if they both sold none.,0.402229845626072,0.451972555746141,31,Other,Yes.,NA,15919,3023
7wx7ntpprys5jbz5w8o4jz35a96cfk1y,75,75,1,50,99,100,100,10,6658d1dffcfccc0b76bb6da4,6659fb320bb0950155b3e609,sales,ream,day,positive,0.394216337907376,0.209718053173242,her numbers alone wouldn't change if a profit was made because Mike sold enough on his own,0.324855274442539,0,46,Other,Yes.,NA,14223,4438
